Date,Symbol,Trader,Channel,isOpen,Asset,Type,Price,Amount,Price-current,Prices,Prices-current,Avged,STC-Amount,STC-Price,STC-Price-current,STC-Prices,STC-Prices-current,STC-PnL,STC-PnL-current,STC-PnL$,STC-PnL$-current,STC-Date,SL,TrailStats,STC-xQty
2023-06-08 15:48:31.330000,SPY_060923C432,cedar9754,analyst-alerts,0,option,BTO,0.21,5,0.22,,,,5.0,0.0,0.0,0,0,-100.0,-100.0,-105.0,-110.0,2023-06-12T00:00:00+0000,,,1.0
2023-06-09 09:35:23.203000,QQQ_060923C357,dcruz,analyst-alerts,0,option,BTO,0.52,20,0.57,,,,20.0,0.69,0.715,0.65/0.73,0.7/0.73,32.6923076923077,25.4385964912281,340.0,290.0,2023-06-09 09:42:41.386000,,"| min,-8.77%,$0.52,in 00:01:32| max,33.33%,$0.76,in 00:06:38| | ",
2023-06-09 09:37:37.381000,AMD_061623C133,evapanda,analyst-alerts,0,option,BTO,2.28,1,2.38,,,,1.0,3.0,3.0,3,3,31.5789473684211,26.0504201680672,72.0,62.0,2023-06-09 10:16:43.224000,,"| min,-3.78%,$2.29,in 00:00:44| max,30.25%,$3.1,in 00:36:46| | ",
2023-06-09 09:45:46.836000,TSLA_060923C257.5,dcruz,analyst-alerts,0,option,BTO,0.79,20,0.83,0.94/0.64,0.98/0.68,1.0,20.0,1.11,1.03,1.11,1.03,40.5063291139241,24.0963855421687,640.0,400.0,2023-06-09 10:16:06.855000,,"| min,-30.12%,$0.58,in 00:22:31| max,54.22%,$1.28,in 00:03:24| | TS:0.2,33.73%,$1.11,in 00:03:29| TS:0.3,24.1%,$1.03,in 00:03:34| TS:0.4,7.23%,$0.89,in 00:03:39| TS:0.5,-1.2%,$0.82,in 00:06:40",
2023-06-09 09:46:54.593000,QQQ_060923C358,dcruz,analyst-alerts,0,option,BTO,0.54,20,0.57,0.59/0.55,,1.0,20.0,0.64,0.61,0.64,0.61,18.5185185185185,7.01754385964913,200.0,80.0000000000001,2023-06-09 09:52:37.790000,,"| min,-8.77%,$0.52,in 00:03:01| max,14.04%,$0.65,in 00:04:51| | ",
2023-06-09 09:50:56.698000,PANW_060923C225,cblast,cblast-100-challenge,0,option,BTO,0.75,2,0.86,,,,2.0,0.04,0.03,0.04,0.03,-94.6666666666667,-96.5116279069767,-142.0,-166.0,2023-06-09 11:47:35.534000,,"| min,-95.35%,$0.04,in 01:49:57| max,17.44%,$1.01,in 00:01:04| | TS:0.2,-3.49%,$0.83,in 00:01:59| TS:0.3,-12.79%,$0.75,in 00:04:29| TS:0.4,-24.42%,$0.65,in 00:09:25| TS:0.5,-32.56%,$0.58,in 00:09:40",
2023-06-09 10:02:13.450000,QQQ_060923C357,dcruz,analyst-alerts,0,option,BTO,1.15,10,1.24,,,,10.0,1.33,1.29,1.33,1.29,15.6521739130435,4.03225806451613,180.0,50.0,2023-06-09 10:20:10.558000,,"| min,-29.03%,$0.88,in 00:09:05| max,10.48%,$1.37,in 00:13:16| | TS:0.2,-17.74%,$1.02,in 00:05:40| TS:0.3,-25.81%,$0.92,in 00:06:55",
2023-06-09 10:18:27.225000,NFLX_060923C427.5,dcruz,analyst-alerts,0,option,BTO,1.05,10,1.08,,,,10.0,1.3,1.1,1.3,1.1,23.8095238095238,1.85185185185185,250.0,20.0,2023-06-09 10:20:44.392000,,"| min,0.0%,$1.08,in 00:00:02| max,26.85%,$1.37,in 00:01:57| | ",
2023-06-09 11:00:51.428000,NDXP_060923C14650,cblast,cb_challenge,0,option,BTO,11.8,1,14.9,,,,1.0,22.0,21.0,22,21,86.4406779661017,40.9395973154362,1020.0,610.0,2023-06-09 11:12:37.000000,,"| min,-8.72%,$13.6,in 00:00:35| max,67.79%,$25.0,in 00:11:11| | TS:0.2,41.61%,$21.1,in 00:08:46",
2023-06-09 11:01:31.322000,SPY_060923P430,AVI#9896,analyst-alerts,0,option,BTO,0.32,10,0.35,,,,10.0,0.25,0.23,0.25,0.23,-21.875,-34.2857142857143,-70.0,-120.0,2023-06-09 11:09:05.022000,,"| min,-31.43%,$0.24,in 00:07:26| max,5.71%,$0.37,in 00:03:06| | TS:0.2,-14.29%,$0.3,in 00:05:26| TS:0.3,-25.71%,$0.26,in 00:06:16",
2023-06-09 11:36:10.397000,SPY_060923C430,cedar9754,analyst-alerts,0,option,BTO,0.6,8,0.7,,,,8.0,0.6,0.55,0.6,0.55,0.0,-21.4285714285714,0.0,-120.0,2023-06-09 11:56:50.293000,,"| min,-21.43%,$0.55,in 00:20:11| max,20.0%,$0.84,in 00:08:00| | TS:0.2,-5.71%,$0.66,in 00:03:44| TS:0.3,-10.0%,$0.63,in 00:16:35| TS:0.4,-21.43%,$0.55,in 00:20:11",
2023-06-09 11:37:58.235000,TSLA_060923C252.5,dcruz,analyst-alerts,0,option,BTO,0.96,10,0.97,,,,10.0,0.25,0.19,0.25,0.19,-73.9583333333333,-80.4123711340206,-710.0,-780.0,2023-06-09 12:27:07.292000,,"| min,-79.38%,$0.2,in 00:48:25| max,16.49%,$1.13,in 00:06:47| | TS:0.2,-4.12%,$0.93,in 00:08:17| TS:0.3,-14.43%,$0.83,in 00:08:37| TS:0.4,-23.71%,$0.74,in 00:17:47| TS:0.5,-35.05%,$0.63,in 00:19:03",
